,name, s
0, Viserys Targaryan, m
1, Rickon, m
2, Robb Stark, m
3, Stannis , m
4, Bran Stark, m
5, Roose Bolton, m
6, Daario, m
7, Ned Stark, m
8, Joffrey, m
9, Shae, m
10,Tommen, m
11, Khal Drogo, m
13, Gendry, m
14, Theon, m
15, Jorah Mormont, m
16, King Robert, m
17, Ramsey Bolton, m
18, Catelyn Stark, f
19, Talisa Stark, f
20, Sam, m
21, Lord Commander Mormont, m
22, Ygritte, f
23, Gilly, f
24, The High Sparrow, m
25, Oberyn Martell, m
26, The Hound. m
27, Jaime Lannister, m
28, Jaqen H’ghar, m
29, Tywin Lannister, m
30, Ellaria Sand, f
31, Tormund Giantsbane, m
32, Yara Greyjoy, f
33, Jon Snow, m
34, Euron Greyjoy, m
35, Hodor, m
36, Margaery Tyrell, f
37, Brienne, f
38, Pycell, m
39, Tyrion Lannister, m
40, Varys, m
41, Melisandre, f
42, Missandei, f
43, Davos Seaworth, m
44, Littlefinger, m
45, Daenerys, f
46, Arya Stark, f
47, Olenna Tyrell, m
48, Qyburn, m
49, Sansa Stark, f
50, Bronn, m
51, Grey Worm, m
52, Cersei, f
